province;province_capital;prov_id;latprov;lonprov
Álava;Vitoria;18;42.85;-2.6833
Albacete;Albacete;19;38.9956;-1.8558
Alicante;Alicante;20;38.3453;-0.4831
Almeria;Almeria;21;36.8403;-2.4681
Asturie;Oviedo;22;43.36;-5.845
Ávila;Ávila;23;40.65;-4.6833
Badajoz;Badajoz;24;38.8803;-6.9753
Baleares;Palma de Mallorca - Mallorca;25;39.5667;2.65
Barcelona;Barcelona;26;41.3825;2.1769
Biscaglia;Bilbao;27;43.2569;-2.9236
Burgos;Burgos;28;42.35;-3.6822
Cáceres;Cáceres;29;39.4833;-6.3667
Cádiz;Cádiz;30;36.535;-6.2975
Cantabria;Santander;31;43.4628;-3.805
Córdoba;Córdoba;32;37.8845;-4.7796
Coruña;Coruña;33;43.3713;-8.4188
Cuenca;Cuenca;34;40.0667;-2.15
Gerona;Gerona;35;41.9833;2.8167
Gipuzkoa;San Sebastián;36;40.5469;-3.6258
Granada;Granada;37;37.1781;-3.6008
Huelva;Huelva;38;37.25;-6.95
Huesca;Huesca;39;42.1333;-0.4167
Jaén;Jaén;40;37.7667;-3.7711
La Rioja;Logroño;41;42.465;-2.4456
Las Palmas;Las Palmas de Gran Canaria;42;28.1272;-15.4314
León;León;43;42.6056;-5.57
Lleida;Lleida;44;41.6167;0.6222
Lugo;Lugo;45;43.0167;-7.55
Madrid;Madrid;46;40.4167;-3.7167
Málaga;Málaga;47;36.7194;-4.42
Murcia;Murcia;48;37.9861;-1.1303
Navarra;Pamplona;49;42.8167;-1.65
Ourense;Ourense;50;42.3364;-7.8633
Palencia;Palencia;51;42.0167;-4.5333
Pontevedra;Pontevedra;52;42.4333;-8.6333
Salamanca;Salamanca;53;40.9667;-5.6639
Santa Cruz de Tenerife;Santa Cruz de Tenerife;54;28.4667;-16.25
Segovia;Segovia;55;40.9481;-4.1184
Sevilla;Sevilla;56;37.39;-5.99
Soria;Soria;57;41.7667;-2.4667
Tarragona;Tarragona;58;41.1187;1.2453
Teruel;Teruel;59;40.3456;-1.1065
Toledo;Toledo;60;39.8567;-4.0244
Valencia;Valencia;61;39.47;-0.3764
Valladolid;Valladolid;62;41.6528;-4.7236
Zamora;Zamora;63;41.5033;-5.7556
Zaragoza;Zaragoza;64;41.6483;-0.883